INDICATIVO;NOMBRE;NOM_PROV;NOM_MUNI;ALTITUD;LATITUD;LONGITUD;C_X;C_Y;DATUM;IND_SYN;ALTA;BAJA
1109X;SANTANDER AEROPUERTO;CANTABRIA;CAMARGO;3;43,428611;-3,831389;432708;4808749;ETRS89;08021;01/03/2006;
1111;SANTANDER I,CMT;CANTABRIA;SANTANDER;52;43,491111;-3,800556;435270;4815666;ETRS89;08023;01/06/1946;
1111X;SANTANDER,CMT;CANTABRIA;SANTANDER;51;43,491111;-3,800556;435270;4815666;ETRS89;08023;01/03/2012;
1124E;VILLACARRIEDO - SANTIBAÑEZ;CANTABRIA;VILLACARRIEDO;196;43,245556;-3,849444;431039;4788434;ETRS89;;01/08/2007;
1135C;BÁRCENA MAYOR-TORIZ;CANTABRIA;LOS TOJOS;460;43,146944;-4,214167;401271;4777849;ETRS89;;01/10/2007;
1152C;SAN FELICES DE BUELNA-TARRIBA;CANTABRIA;SAN FELICES DE BUELNA;105;43,271944;-4,048611;414907;4791549;ETRS89;;01/03/2014;
1154H;TORRELAVEGA-SIERRAPANDO;CANTABRIA;TORRELAVEGA;110;43,358611;-4,027500;416739;4801152;ETRS89;;01/08/1993;
1159;SAN VICENTE, FARO;CANTABRIA;SAN VICENTE DE LA BARQUERA;38;43,393333;-4,392222;387248;4805437;ETRS89;08017;01/01/1951;
1167B;FUENTE DÉ-TELEFÉRICO;CANTABRIA;CAMALEÑO;1100;43,143889;-4,812778;352587;4778389;ETRS89;;01/01/1986;
1167G;MIRADOR DEL CABLE, PARQUE NACIONAL PICOS DE EUROPA;CANTABRIA;CAMALEÑO;1910;43,155000;-4,803056;353404;4779606;ETRS89;;01/06/2019;
1167H;CABAÑA VERONICA, PARQUE NACIONAL PICOS DE EUROPA;CANTABRIA;CAMALEÑO;2331;43,176111;-4,834722;350881;4782007;ETRS89;;01/09/2023;
1167J;CORISCAO, PARQUE NACIONAL PICOS DE EUROPA;CANTABRIA;CAMALEÑO;1722;43,089167;-4,773889;355621;4772244;ETRS89;;01/09/2020;
1174I;TAMA;CANTABRIA;CILLORIGO DE LIÉBANA;251;43,182778;-4,601667;369837;4782358;ETRS89;;01/07/1971;
1176A;TRESVISO;CANTABRIA;TRESVISO;940;43,255833;-4,668333;364581;4790577;ETRS89;;01/09/2008;
1178I;VEGA DE URRIELLU, PARQUE NACIONAL PICOS DE EUROPA;ASTURIAS;CABRALES;1970;43,202500;-4,821111;352051;4784913;ETRS89;;01/09/2023;
1178M;VEGA DE ARIO, PARQUE NACIONAL PICOS DE EUROPA;ASTURIAS;ONÍS;1651;43,243889;-4,921667;343987;4789692;ETRS89;;01/08/2020;
1178R;SOTRES, PARQUE NACIONAL PICOS DE EUROPA;ASTURIAS;CABRALES;1236;43,237500;-4,736667;358992;4788654;ETRS89;;01/06/2019;
1179B;CARREÑA DE CABRALES;ASTURIAS;CABRALES;458;43,311111;-4,852778;349746;4797032;ETRS89;;01/07/2009;
1183X;LLANES;ASTURIAS;LLANES;10;43,420278;-4,748056;358493;4808972;ETRS89;08016;01/04/1997;
1186P;AMIEVA, PANIZALES;ASTURIAS;AMIEVA;370;43,266667;-5,119167;328017;4792610;ETRS89;;01/05/2008;
1199X;BARGAÉU PILOÑA;ASTURIAS;PILOÑA;280;43,377778;-5,396667;305849;4805559;ETRS89;;01/05/2008;
1203D;COLUNGA;ASTURIAS;COLUNGA;30;43,492500;-5,247222;318300;4817963;ETRS89;;01/08/2001;
1207U;GIJÓN-CAMPUS;ASTURIAS;GIJÓN;26;43,523056;-5,621111;288175;4822241;ETRS89;08065;01/03/1975;
1210X;CABO PEÑAS;ASTURIAS;GOZÓN;100;43,655833;-5,848611;270294;4837593;ETRS89;08012;01/06/1997;
1212E;ASTURIAS/AVILÉS;ASTURIAS;CASTRILLÓN;127;43,566944;-6,044167;254162;4828281;ETRS89;08011;01/08/1968;
1221D;PAJARES - VALGRANDE;ASTURIAS;LENA;1480;42,978611;-5,776389;273616;4762182;ETRS89;08031;01/03/1997;
1223P;RONZÓN;ASTURIAS;LENA;370;43,132778;-5,822778;270410;4779430;ETRS89;;01/07/2009;
1226X;CUEVAS DE FELECHOSA;ASTURIAS;ALLER;750;43,095278;-5,476944;298416;4774375;ETRS89;;01/06/2008;
1234P;MIERES-BAÍÑA;ASTURIAS;MIERES;170;43,275000;-5,819167;271236;4795215;ETRS89;;01/11/1976;
1249I;OVIEDO;ASTURIAS;OVIEDO;336;43,353333;-5,874167;267072;4804067;ETRS89;08015;01/01/1972;28/02/2023
1249X;OVIEDO;ASTURIAS;OVIEDO;334;43,353333;-5,874167;267072;4804067;ETRS89;08015;01/10/1975;
1272B;SOUTU, LA BARCA;ASTURIAS;TINEO;280;43,290278;-6,386667;225252;4798624;ETRS89;;01/05/2008;
1276F;POLA DE SOMIEDO-DEPURADORA;ASTURIAS;SOMIEDO;670;43,100000;-6,256944;234953;4777072;ETRS89;;01/07/2009;
1279X;CAMUÑO;ASTURIAS;SALAS;240;43,425000;-6,230833;238474;4813086;ETRS89;;01/05/2008;
1283U;CABO BUSTO;ASTURIAS;VALDÉS;60;43,569167;-6,470000;219782;4829877;ETRS89;08010;01/04/1997;
1297E;CERVANTES-BAZAL;LUGO;CERVANTES;1020;42,768611;-7,017500;171293;4742955;ETRS89;;01/06/2009;
1302F;DEGAÑA, COTO CORTÉS;ASTURIAS;DEGAÑA;1310;42,955278;-6,472500;216744;4761704;ETRS89;;01/05/2008;
1309C;SAN ANTOLIN DE IBIAS-LINARES;ASTURIAS;IBIAS;780;43,027500;-6,885000;183464;4771200;ETRS89;;01/05/2008;
1327A;ONETA;ASTURIAS;VILLAYÓN;410;43,465556;-6,673333;202852;4819076;ETRS89;;01/03/1972;
1331A;CASTROPOL;ASTURIAS;CASTROPOL;40;43,524722;-7,031389;174204;4826990;ETRS89;08009;01/11/2014;
1341B;OURIA DE TARAMUNDI;ASTURIAS;TARAMUNDI;340;43,415556;-7,061111;171209;4814982;ETRS89;;01/08/2008;
1342X;RIBADEO, VILAFRAMIL;LUGO;RIBADEO;43;43,540556;-7,083056;170114;4828953;ETRS89;;01/10/2008;
1351;ESTACA DE BARES;A CORUÑA;MAÑÓN;90;43,786111;-7,685000;123019;4858799;ETRS89;08004;01/01/1961;
1354C;FERROL-A GRAÑA;A CORUÑA;FERROL;4;43,476389;-8,259167;74628;4827177;ETRS89;08005;01/07/2004;
1363D;A MOURELA;A CORUÑA;AS PONTES DE GARCÍA RODRÍGUEZ;450;43,431111;-7,856111;106938;4820161;ETRS89;;01/12/2011;31/08/2021
1387;A CORUÑA;A CORUÑA;A CORUÑA;57;43,365833;-8,421389;60704;4815740;ETRS89;08001;01/10/1930;
1387D;A CORUÑA-PARQUE DE BENS;A CORUÑA;A CORUÑA;132;43,363333;-8,441944;59019;4815571;ETRS89;08000;01/06/2010;
1387E;A CORUÑA/ALVEDRO;A CORUÑA;CULLEREDO;98;43,306944;-8,371944;64289;4808938;ETRS89;08002;01/12/1971;
1393;CABO VILAN;A CORUÑA;CAMARIÑAS;50;43,160556;-9,210833;-4980;4797412;ETRS89;08006;01/01/1994;
1400;FISTERRA;A CORUÑA;FISTERRA;230;42,924722;-9,291389;-13503;4771704;ETRS89;08040;01/01/1913;
1428;SANTIAGO DE COMPOSTELA/LAVACOLLA;A CORUÑA;O PINO;370;42,888056;-8,410556;58145;4762610;ETRS89;08042;01/11/1943;
1435C;NOIA;A CORUÑA;NOIA;128;42,800278;-8,876111;19433;4755417;ETRS89;;01/05/2009;
1455I;RODEIRO-VILAMAIOR;PONTEVEDRA;RODEIRO;645;42,711111;-7,953889;94289;4740652;ETRS89;;01/08/2011;
1465U;LALIN-CRISTIMIL;PONTEVEDRA;LALÍN;463;42,665556;-8,192500;74431;4736769;ETRS89;;01/08/2011;
1466A;SILLEDA;PONTEVEDRA;SILLEDA;435;42,700833;-8,257778;69324;4741020;ETRS89;;01/08/1987;
1473A;PADRÓN;A CORUÑA;PADRÓN;100;42,738333;-8,627222;39333;4747142;ETRS89;08039;01/01/1994;
1475X;SANTIAGO DE COMPOSTELA;A CORUÑA;SANTIAGO DE COMPOSTELA;240;42,876111;-8,555833;46190;4762059;ETRS89;08041;01/01/1994;
1477V;VILAGARCÍA DE AROUSA;PONTEVEDRA;VILAGARCÍA DE AROUSA;32;42,584722;-8,774722;26085;4730897;ETRS89;;01/10/2008;
1484C;PONTEVEDRA;PONTEVEDRA;PONTEVEDRA;113;42,438333;-8,615833;38048;4713754;ETRS89;08044;01/10/1985;
1486E;ESCUELA NAVAL DE MARÍN;PONTEVEDRA;MARÍN;3;42,396111;-8,706944;30235;4709566;ETRS89;08043;01/01/1974;
1489A;A LAMA;PONTEVEDRA;A LAMA;395;42,406944;-8,451111;51377;4709381;ETRS89;;01/10/2008;
1495;VIGO/PEINADOR;PONTEVEDRA;REDONDELA;255;42,238611;-8,623889;35914;4691612;ETRS89;08045;01/01/1951;
1496X;VIGO-O CASTRO;PONTEVEDRA;VIGO;120;42,230556;-8,724167;27576;4691271;ETRS89;;01/12/2003;
1505;LUGO/ROZAS;LUGO;CASTRO DE REI;442;43,111389;-7,457500;137309;4782840;ETRS89;08008;01/01/1951;
1518A;LUGO-COL.FINGOI;LUGO;LUGO;442;42,998333;-7,552500;128895;4770699;ETRS89;;01/11/1966;
1521X;BECERREA-PENAMAIOR;LUGO;BECERREÁ;1080;42,863889;-7,185278;158090;4754206;ETRS89;;01/06/2005;
1535I;EVC_O SAVIÑAO;LUGO;O SAVIÑAO;560;42,634722;-7,704722;114226;4730997;ETRS89;08049;01/08/2021;
1541B;VILLABLINO;LEON;VILLABLINO;958;42,928889;-6,333889;227936;4758315;ETRS89;;01/06/2010;
1542;PUERTO DE LEITARIEGOS;ASTURIAS;CANGAS DEL NARCEA;1530;42,994167;-6,414167;221679;4765828;ETRS89;08052;01/01/1961;
1549;PONFERRADA;LEON;PONFERRADA;532;42,563889;-6,600000;204486;4718674;ETRS89;08053;01/01/1951;
1631E;POBRA DE TRIVES,SAN MAMEDE;OURENSE;A POBRA DE TRIVES;840;42,339444;-7,282500;147194;4696358;ETRS89;08051;01/01/1994;
1639X;CHANDREXA DE QUEIXA;OURENSE;CHANDREXA DE QUEIXA;990;42,260278;-7,383611;138409;4687991;ETRS89;;01/07/2006;
1679A;MONFORTE DE LEMOS;LUGO;MONFORTE DE LEMOS;291;42,531667;-7,510833;129516;4718683;ETRS89;;01/02/1950;
1690A;OURENSE;OURENSE;OURENSE;146;42,325278;-7,859722;99540;4697347;ETRS89;08048;01/08/1972;
1700X;O CARBALLIÑO;OURENSE;O CARBALLIÑO;400;42,421389;-8,092500;80995;4709148;ETRS89;08047;01/01/1994;
1701X;RIBADAVIA;OURENSE;RIBADAVIA;112;42,300000;-8,129167;77161;4695847;ETRS89;;01/10/2008;
1735X;XINZO DE LIMIA;OURENSE;XINZO DE LIMIA;616;42,079167;-7,733611;108414;4669424;ETRS89;08050;01/02/2001;
1740;ALTAMIRA;CANTABRIA;SANTILLANA DEL MAR;150;43,377222;-4,124444;408911;4803320;ETRS89;;01/05/1947;
