INDICATIVO;NOMBRE;NOM_PROV;NOM_MUNI;ALTITUD;LATITUD;LONGITUD;C_X;C_Y;DATUM;IND_SYN;ALTA;BAJA
1002Y;BAZTÁN, IRURITA;NAVARRA;BAZTAN;183;43,135833;-1,543056;618492;4776930;ETRS89;08030;01/03/2009;
1010X;BERA;NAVARRA;BERA;54;43,278611;-1,675833;607442;4792606;ETRS89;;01/07/2009;
1012P;IRUN;GIPUZKOA;IRUN;120;43,326389;-1,796667;597561;4797764;ETRS89;;01/02/2009;
1014;HONDARRIBIA-MALKARROA;GIPUZKOA;HONDARRIBIA;4;43,356944;-1,792222;597873;4801163;ETRS89;08029;01/08/1955;
1014A;DONOSTIA / SAN SEBASTIÁN AEROPUERTO;GIPUZKOA;HONDARRIBIA;4;43,356944;-1,792222;597873;4801163;ETRS89;08029;01/01/2004;
1021X;ERRENTERIA, AÑARBE;GIPUZKOA;ERRENTERIA;165;43,213056;-1,878889;591064;4785085;ETRS89;;01/06/2003;
1024E;DONOSTIA / SAN SEBASTIÁN, IGELDO;GIPUZKOA;DONOSTIA/SAN SEBASTIÁN;250;43,306389;-2,041111;577768;4795286;ETRS89;08027;01/06/1911;
1025A;SEGURA;GIPUZKOA;SEGURA;255;43,015556;-2,256667;560573;4762810;ETRS89;;01/01/2017;
1025X;BEASAIN, ARRIARAN;GIPUZKOA;BEASAIN;255;43,054722;-2,231944;562547;4767178;ETRS89;;01/01/2009;
1026X;ORDIZIA;GIPUZKOA;ORDIZIA;290;43,058056;-2,184167;566435;4767585;ETRS89;;01/01/2009;
1033X;ARESO;NAVARRA;ARESO;520;43,085000;-1,950833;585398;4770788;ETRS89;;01/06/2004;
1037Y;ZUMARRAGA;GIPUZKOA;ZUMARRAGA;420;43,080000;-2,317500;555557;4769925;ETRS89;08037;01/12/2007;
1038X;AZPEITIA;GIPUZKOA;AZPEITIA;180;43,172500;-2,267222;559560;4780232;ETRS89;;01/01/2009;
1041A;ZUMAIA;GIPUZKOA;ZUMAIA;28;43,302222;-2,251111;560741;4794649;ETRS89;08026;01/04/1997;
1049N;ELGETA;GIPUZKOA;ELGETA;470;43,138333;-2,495833;541002;4776300;ETRS89;;01/10/2011;
1050J;ELGOIBAR;GIPUZKOA;ELGOIBAR;119;43,209444;-2,413333;547656;4784241;ETRS89;08036;01/04/1997;
1052A;MUTRIKU;GIPUZKOA;MUTRIKU;150;43,317222;-2,397222;548878;4796219;ETRS89;;01/01/2009;
1055B;LEKEITIO;BIZKAIA;LEKEITIO;12;43,376944;-2,510278;539672;4802792;ETRS89;08024;01/04/1997;31/03/2020
1056K;FORUA;BIZKAIA;FORUA;45;43,342500;-2,671111;526658;4798903;ETRS89;;01/02/2009;
1057B;MATXITXAKO;BIZKAIA;BERMEO;93;43,453889;-2,752778;520002;4811250;ETRS89;;01/04/1997;
1059X;PUNTA GALEA;BIZKAIA;GETXO;90;43,375000;-3,021667;498245;4802460;ETRS89;08059;01/02/2005;
1060X;AMURRIO;ARABA/ALAVA;AMURRIO;240;43,050278;-3,005556;499548;4766398;ETRS89;;01/08/2003;
1064L;OROZKO, IBARRA;BIZKAIA;OROZKO;270;43,095556;-2,860278;511371;4771436;ETRS89;;01/03/2009;
1074C;AMOREBIETA-ETXANO;BIZKAIA;AMOREBIETA-ETXANO;100;43,202778;-2,706111;523875;4783375;ETRS89;;01/02/2009;
1078I;GÜEÑES;BIZKAIA;GÜEÑES;208;43,203333;-3,104722;491492;4783400;ETRS89;08035;01/04/1997;
1082;BILBAO AEROPUERTO;BIZKAIA;LOIU;42;43,298056;-2,906389;507593;4793919;ETRS89;08025;01/01/1947;
1083B;SOPUERTA;BIZKAIA;SOPUERTA;177;43,279722;-3,168611;486319;4791892;ETRS89;;01/03/2015;
1083L;CASTRO URDIALES-EDAR;CANTABRIA;CASTRO-URDIALES;45;43,394722;-3,233889;481059;4804676;ETRS89;08020;01/04/2014;
1089U;RAMALES DE LA VICTORIA-ETAP;CANTABRIA;RAMALES DE LA VICTORIA;80;43,255833;-3,470833;461783;4789333;ETRS89;;01/03/2014;
1096X;TRETO;CANTABRIA;BÁRCENA DE CICERO;1;43,396667;-3,469722;461961;4804973;ETRS89;;01/05/2008;
1102D;SOBA-ALTO MIERA;CANTABRIA;SOBA;700;43,190556;-3,685833;444272;4782204;ETRS89;;01/04/1998;31/10/2022
1103X;SAN ROQUE DE RIOMIERA-CARACOL;CANTABRIA;SAN ROQUE DE RIOMIERA;849;43,227500;-3,721111;441441;4786331;ETRS89;;01/11/2022;
1109;SANTANDER/PARAYAS;CANTABRIA;CAMARGO;3;43,423889;-3,825556;433175;4808220;ETRS89;08021;01/09/1953;
