INDICATIVO;NOMBRE;NOM_PROV;NOM_MUNI;ALTITUD;LATITUD;LONGITUD;C_X;C_Y;DATUM;IND_SYN;ALTA;BAJA
2017Y;BARRIOMARTÍN-EL ROBLEDO;SORIA;LA PÓVEDA DE SORIA;1260;41,995833;-2,494167;541895;4649437;ETRS89;;01/07/2009;
2030;SORIA;SORIA;SORIA;1081;41,775000;-2,483056;542963;4624924;ETRS89;08148;01/11/1943;
2044B;LUBIA-CEDER;SORIA;CUBO DE LA SOLANA;1100;41,600556;-2,507500;541042;4605545;ETRS89;;01/07/2009;
2048A;MORÓN DE ALMAZÁN ;SORIA;MORÓN DE ALMAZÁN;978;41,419444;-2,420278;548445;4585483;ETRS89;;01/09/2003;
2059B;LA RIBA DE ESCALOTE;SORIA;LA RIBA DE ESCALOTE;1042;41,349722;-2,783333;518125;4577603;ETRS89;;01/10/2008;
2092;BURGO DE OSMA-POZUELOS;SORIA;BURGO DE OSMA-CIUDAD DE OSMA;932;41,589444;-3,086944;492753;4604198;ETRS89;;01/07/2009;
2096B;LICERAS-CAÑADA DEHESA;SORIA;LICERAS;1150;41,373611;-3,251389;478978;4580263;ETRS89;;01/08/2009;
2106B;CORUÑA DEL CONDE;BURGOS;CORUÑA DEL CONDE;955;41,745833;-3,381944;468243;4621628;ETRS89;;01/03/2009;
2117D;ARANDA DE DUERO;BURGOS;ARANDA DE DUERO;790;41,665833;-3,742778;438164;4612942;ETRS89;08144;01/04/2002;
2135A;FRESNO DE CANTESPINO;SEGOVIA;FRESNO DE CANTESPINO;993;41,372778;-3,507222;457583;4580265;ETRS89;;01/09/2008;
2140A;ALDEANUEVA DE SERREZUELA-EL CERRO;SEGOVIA;ALDEANUEVA DE LA SERREZUELA;1135;41,464444;-3,785833;434376;4590615;ETRS89;;01/07/2009;
2150H;LA PINILLA, ESTACIÓN DE ESQUÍ;SEGOVIA;CEREZO DE ARRIBA;1798;41,191944;-3,475278;460145;4560174;ETRS89;08143;01/01/1977;
2172Y;SARDÓN DE DUERO;VALLADOLID;SARDÓN DE DUERO;725;41,611944;-4,405556;382889;4607647;ETRS89;;01/03/2009;
2182C;RADES;SEGOVIA;PEDRAZA;1107;41,133889;-3,790278;433671;4553921;ETRS89;;01/08/2008;
2192C;CUÉLLAR;SEGOVIA;CUÉLLAR;795;41,383611;-4,265556;394183;4582116;ETRS89;;01/05/2009;
2235U;CERVERA DE PISUERGA;PALENCIA;CERVERA DE PISUERGA;1140;42,870556;-4,520000;375846;4747561;ETRS89;08058;01/06/1986;
2243A;AGUILAR DE CAMPOO;PALENCIA;AGUILAR DE CAMPOO;910;42,797222;-4,276944;395576;4739088;ETRS89;;01/10/2008;
2276B;VILLAELES DE VALDAVIA;PALENCIA;VILLAELES DE VALDAVIA;908;42,568889;-4,575000;370729;4714145;ETRS89;;01/05/2009;
2285B;VILLADIEGO (DEPÓSITO DE AGUA);BURGOS;VILLADIEGO;869;42,523889;-4,001111;417774;4708432;ETRS89;;01/08/2018;
2290Y;PEDROSA DEL PRÍNCIPE;BURGOS;PEDROSA DEL PRÍNCIPE;771;42,251111;-4,198889;401101;4678354;ETRS89;;01/03/2009;
2296A;ÓLVEGA-CAMINO VEGAFRÍA;SORIA;ÓLVEGA;1039;41,775556;-1,976667;585048;4625363;ETRS89;;01/07/2009;
2298;PALACIOS DE LA SIERRA;BURGOS;PALACIOS DE LA SIERRA;1080;41,959722;-3,131667;489089;4645313;ETRS89;08149;01/02/1934;
2302N;MONTERRUBIO DE LA DEMANDA;BURGOS;MONTERRUBIO DE LA DEMANDA;1197;42,146389;-3,110833;490842;4666036;ETRS89;;01/03/2009;
2311Y;VILLAMAYOR DE LOS MONTES;BURGOS;VILLAMAYOR DE LOS MONTES;882;42,105278;-3,767778;436519;4661751;ETRS89;;01/03/2009;
2331;BURGOS/VILLAFRÍA;BURGOS;BURGOS;891;42,356944;-3,621389;448827;4689596;ETRS89;08075;01/08/1943;
2362C;CAMPORREDONDO DE ALBA, CUEVA DORADA;PALENCIA;VELILLA DEL RÍO CARRIÓN;1575;42,893889;-4,713611;360085;4750456;ETRS89;;01/12/2009;
2374X;CARRIÓN DE LOS CONDES;PALENCIA;CARRIÓN DE LOS CONDES;830;42,350833;-4,617222;366802;4689997;ETRS89;08068;01/12/1988;
