INDICATIVO;NOMBRE;NOM_PROV;NOM_MUNI;ALTITUD;LATITUD;LONGITUD;C_X;C_Y;DATUM;IND_SYN;ALTA;BAJA
2400E;PALENCIA-AUTILLA PINO;PALENCIA;AUTILLA DEL PINO;874;41,995556;-4,602778;367251;4650526;ETRS89;08072;01/12/1988;
2401X;PALENCIA 'GRANJA VIÑALTA' ;PALENCIA;PALENCIA;736;42,009444;-4,560556;370776;4652003;ETRS89;;01/03/2009;
2422;VALLADOLID;VALLADOLID;VALLADOLID;734;41,640833;-4,754444;353884;4611387;ETRS89;08141;01/10/1973;
2430Y;MUÑOTELLO;AVILA;MUÑOTELLO;1178;40,543333;-5,044167;326896;4490073;ETRS89;;01/08/2008;
2444;ÁVILA;AVILA;ÁVILA;1130;40,659167;-4,679722;358004;4502279;ETRS89;08210;01/01/1983;
2453E;GOTARRENDURA ;AVILA;GOTARRENDURA;920;40,828889;-4,741944;353118;4521223;ETRS89;;01/03/2004;
2456B;AREVALO;AVILA;ARÉVALO;820;41,071389;-4,730000;354658;4548124;ETRS89;;01/02/2008;
2462;NAVACERRADA,PUERTO;MADRID;CERCEDILLA;1893;40,793056;-4,010556;414745;4516276;ETRS89;08215;01/01/1946;
2465;SEGOVIA;SEGOVIA;SEGOVIA;1008;40,945278;-4,126389;405190;4533294;ETRS89;08213;01/10/1988;
2482B;MIGUELAÑEZ;SEGOVIA;MIGUELÁÑEZ;870;41,126389;-4,375833;384510;4553700;ETRS89;;01/09/2008;
2491C;LA COVATILLA, ESTACIÓN DE ESQUÍ;SALAMANCA;LA HOYA;1960;40,355000;-5,690000;271562;4470635;ETRS89;08205;01/12/2001;
2503B;OLMEDO, DEPÓSITO AGUA;VALLADOLID;OLMEDO;786;41,280000;-4,691944;358306;4571222;ETRS89;;01/08/2008;
2507Y;RUEDA;VALLADOLID;RUEDA;724;41,419444;-4,963611;335905;4587183;ETRS89;;01/09/2004;
2512Y;RIVILLA DE BARAJAS;AVILA;RIVILLA DE BARAJAS;925;40,882222;-5,018611;329925;4527645;ETRS89;;01/03/2003;
2517A;FUENTE EL SOL;VALLADOLID;FUENTE EL SOL;755;41,172778;-4,939722;337289;4559752;ETRS89;;01/03/2009;
2536D;MORALES DEL TORO-DEPOSITO;ZAMORA;MORALES DE TORO;710;41,548611;-5,271667;310536;4602154;ETRS89;;01/04/2009;
2539;VALLADOLID/VILLANUBLA;VALLADOLID;VILLANUBLA;846;41,711944;-4,855556;345633;4619459;ETRS89;08140;01/11/1936;
2555B;FUENTESAUCO;ZAMORA;FUENTESAÚCO;811;41,236667;-5,481389;292051;4568000;ETRS89;;01/01/2008;
2565;CORESES;ZAMORA;CORESES;701;41,555278;-5,630556;280624;4603744;ETRS89;;01/10/2021;
2568D;VILLAPUN;PALENCIA;VILLOTA DEL PÁRAMO;985;42,523611;-4,851111;347956;4709576;ETRS89;;01/10/2008;
2593D;VILLALÓN DE CAMPOS;VALLADOLID;VILLALÓN DE CAMPOS;782;42,094167;-5,041111;331206;4662248;ETRS89;;01/02/2009;
2604B;MEDINA DE RIOSECO;VALLADOLID;MEDINA DE RIOSECO;731;41,875833;-5,040278;330697;4638004;ETRS89;;01/08/2008;
2611D;VILLAFÁFILA;ZAMORA;VILLAFÁFILA;690;41,856389;-5,592500;284805;4637083;ETRS89;;01/03/2009;
2614;ZAMORA;ZAMORA;ZAMORA;656;41,515556;-5,735278;271750;4599605;ETRS89;08130;01/01/1909;
2624C;RIAÑO-ERMITA QUINTANILLA;LEON;RIAÑO;1090;42,958333;-5,007500;336259;4758144;ETRS89;;01/02/2009;
2626Y;SAHECHORES-HELIPUERTO;LEON;CUBILLAS DE RUEDA;916;42,620000;-5,193333;320124;4720951;ETRS89;;01/06/2009;
2630X;PUERTO DE SAN ISIDRO;LEON;PUEBLA DE LILLO;1510;43,062222;-5,376944;306451;4770468;ETRS89;08057;01/10/1991;
2661;LEÓN/VIRGEN DEL CAMINO;LEON;VALVERDE DE LA VIRGEN;912;42,588333;-5,651111;282469;4718510;ETRS89;08055;01/01/1938;
2664B;VALENCIA DE DON JUAN;LEON;VALENCIA DE DON JUAN;788;42,295833;-5,504722;293522;4685663;ETRS89;;01/08/2008;
2701D;MIÑERA DE LUNA-EMBALSE;LEON;LOS BARRIOS DE LUNA;1120;42,885556;-5,870833;265562;4752106;ETRS89;;01/07/2009;
2728B;VILLAMECA;LEON;QUINTANA DEL CASTILLO;995;42,648333;-6,070833;248269;4726339;ETRS89;;01/08/2008;
2734D;ASTORGA-DEPÓSITO AGUA;LEON;VILLAOBISPO DE OTERO;919;42,476667;-6,074444;247280;4707285;ETRS89;;01/04/2009;
2737E;LAGUNAS DE SOMOZA;LEON;VAL DE SAN LORENZO;1020;42,377500;-6,196667;236817;4696644;ETRS89;08123;01/10/1999;
2742R;BUSTILLO DEL PÁRAMO-LAS MATILLAS;LEON;BUSTILLO DEL PÁRAMO;850;42,466389;-5,779722;271471;4705307;ETRS89;;01/07/2009;
2755X;BENAVENTE;ZAMORA;BENAVENTE;715;42,010833;-5,666667;279182;4654421;ETRS89;08056;01/12/1988;
2766E;EL PUENTE (CASA FORESTAL);ZAMORA;ROBLEDA-CERVANTES;935;42,082222;-6,640000;198911;4665322;ETRS89;;01/08/2003;
2775X;VILLARDECIERVOS;ZAMORA;VILLARDECIERVOS;850;41,941389;-6,279722;228116;4648475;ETRS89;08125;01/12/1988;
2777K;SANTIBAÑEZ DE VIDRIALES;ZAMORA;SANTIBÁÑEZ DE VIDRIALES;737;42,078056;-6,007222;251242;4662821;ETRS89;;01/02/2008;
2789H;POZUELO DE TABARA;ZAMORA;POZUELO DE TÁBARA;711;41,785556;-5,908889;258274;4630060;ETRS89;;01/02/2008;
2804F;VILLADEPERA;ZAMORA;VILLADEPERA;790;41,533889;-6,141944;237885;4602796;ETRS89;;01/02/2008;
2811A;NAVARREDONDA DE GREDOS;AVILA;NAVARREDONDA DE GREDOS;1525;40,350556;-5,143056;318001;4468872;ETRS89;08206;01/06/2003;
2828Y;BARCO DE AVILA;AVILA;EL BARCO DE ÁVILA;1012;40,355278;-5,519167;286072;4470238;ETRS89;;01/06/2008;
2847X;PEDROSILLO DE LOS AIRES-CASTILLEJO;SALAMANCA;PEDROSILLO DE LOS AIRES;865;40,675556;-5,643333;276593;4506103;ETRS89;;01/04/2009;
2863C;PEDRAZA DE ALBA-VALLELARGO;SALAMANCA;PEDRAZA DE ALBA;897;40,732222;-5,366111;300195;4511726;ETRS89;;01/04/2009;
2867;SALAMANCA/MATACAN;SALAMANCA;CALVARRASA DE ABAJO;790;40,959444;-5,498333;289748;4537262;ETRS89;08202;01/01/1945;
2870;SALAMANCA,OBS.;SALAMANCA;SALAMANCA;775;40,957500;-5,662222;275948;4537454;ETRS89;08201;01/01/1970;
2873X;BARBADILLO;SALAMANCA;BARBADILLO;817;40,903611;-5,779722;265868;4531779;ETRS89;;01/04/1995;
2883R;LEDESMA-ESTACAS;SALAMANCA;LEDESMA;775;41,200556;-6,100278;240037;4565658;ETRS89;;01/04/2009;30/09/2021
2885K;FRESNO DE SAYAGO;ZAMORA;FRESNO DE SAYAGO;804;41,304444;-6,022222;246984;4576963;ETRS89;;01/09/2008;
2891A;VILLARINO DE LOS AIRES;SALAMANCA;VILLARINO DE LOS AIRES;690;41,263056;-6,462500;209936;4573746;ETRS89;;01/08/2008;
2914C;BOADILLA FUENTE SAN ESTEBAN;SALAMANCA;LA FUENTE DE SAN ESTEBAN;785;40,786111;-6,202778;229752;4519953;ETRS89;;01/08/2008;
2916A;VITIGUDINO;SALAMANCA;VITIGUDINO;769;41,011389;-6,437778;210903;4545719;ETRS89;08129;01/10/1991;
2918Y;EL MAILLO (BASE AVIONES);SALAMANCA;EL MAÍLLO;1027;40,569444;-6,223611;227110;4495961;ETRS89;;01/04/2005;
2926B;BAÑOBÁREZ;SALAMANCA;BAÑOBÁREZ;748;40,851389;-6,608889;195777;4528534;ETRS89;;01/08/2008;
2930Y;NAVASFRÍAS;SALAMANCA;NAVASFRÍAS;880;40,296667;-6,812778;175916;4467668;ETRS89;;01/02/2004;
2945A;EL BODÓN-BASE AÉREA;SALAMANCA;EL BODÓN;805;40,485000;-6,576944;196813;4487741;ETRS89;;01/04/2009;
2946X;SAELICES EL CHICO;SALAMANCA;SAELICES EL CHICO;680;40,635000;-6,600000;195540;4504476;ETRS89;08195;01/12/1988;
2966D;ALCAÑICES-VIVINERA;ZAMORA;ALCAÑICES;840;41,683333;-6,301389;225218;4619888;ETRS89;;01/03/2009;
