INDICATIVO;NOMBRE;NOM_PROV;NOM_MUNI;ALTITUD;LATITUD;LONGITUD;C_X;C_Y;DATUM;IND_SYN;ALTA;BAJA
C629X;MOG¡N, PUERTO I;LAS PALMAS;MOG¡N;10;27,816389;-15,764167;-763039;3143241;REGCAN95;60036;01/02/2003;
C635B;SAN BARTOLOME TIRAJANA-H.LAS TIRAJANAS;LAS PALMAS;SAN BARTOLOM… DE TIRAJANA;960;27,920000;-15,574167;-742853;3152885;REGCAN95;;01/07/2009;
C639M;SAN BARTOLOME TIRAJANA-C.INSULAR TURISMO;LAS PALMAS;SAN BARTOLOM… DE TIRAJANA;45;27,758056;-15,575556;-744885;3134714;REGCAN95;;01/06/1994;
C639U;SAN BARTOLOME TIRAJANA (EL MATORRAL);LAS PALMAS;SAN BARTOLOM… DE TIRAJANA;41;27,812500;-15,453333;-732049;3139564;REGCAN95;;01/05/1991;
C648C;AG‹IMES-EL MILANO;LAS PALMAS;AG‹IMES;306;27,902500;-15,453889;-731062;3149673;REGCAN95;;01/11/2008;
C648N;TELDE-CENTRO FORESTAL DORAMAS;LAS PALMAS;TELDE;344;27,987500;-15,457778;-730462;3159255;REGCAN95;;01/01/1994;
C649I;GRAN CANARIA/AEROPUERTO;LAS PALMAS;INGENIO;24;27,917778;-15,395278;-725041;3150786;REGCAN95;60030;01/01/1951;
C649R;TELDE-MELENARA;LAS PALMAS;TELDE;9;27,986944;-15,377778;-722498;3158369;REGCAN95;;01/07/2009;
C656V;TEROR-OSORIO;LAS PALMAS;TEROR;683;28,075278;-15,547222;-738345;3170037;REGCAN95;;01/11/1988;
C658X;LAS PALMAS G.C.-TAFIRA/ZURBAR¡N;LAS PALMAS;LAS PALMAS DE GRAN CANARIA;269;28,078056;-15,453333;-728964;3169374;REGCAN95;;01/11/2008;
C659H;LAS PALMAS G.C.,SAN CRIST”BAL;LAS PALMAS;LAS PALMAS DE GRAN CANARIA;55;28,089722;-15,416111;-725123;3170299;REGCAN95;60029;01/05/2002;
C659M;LAS PALMAS DE GRAN CANARIA-PLAZA DE LA FERIA ;LAS PALMAS;LAS PALMAS DE GRAN CANARIA;15;28,113056;-15,421389;-725377;3172972;REGCAN95;60032;01/09/2013;
C665T;VALLESECO;LAS PALMAS;VALLESECO;900;28,066111;-15,565833;-740306;3169203;REGCAN95;;01/11/2008;
C668V;AGAETE  - SUERTE ALTA;LAS PALMAS;AGAETE;352;28,094444;-15,675000;-750843;3173530;REGCAN95;;01/03/1989;
C669B;ARUCAS-BA—ADEROS;LAS PALMAS;ARUCAS;86;28,141667;-15,506944;-733556;3177071;REGCAN95;;01/05/1989;
C689E;MASPALOMAS;LAS PALMAS;SAN BARTOLOM… DE TIRAJANA;6;27,735833;-15,595833;-747171;3132430;REGCAN95;60037;01/07/1994;
C839X;TEGUISE LA GRACIOSA-HELIPUERTO;LAS PALMAS;TEGUISE;19;29,229444;-13,510278;-524450;3279635;REGCAN95;60045;01/06/2010;
C916Q;PINAR-DEP”SITO;SANTA CRUZ DE TENERIFE;EL PINAR DE EL HIERRO;948;27,718889;-17,978056;-986094;3157776;REGCAN95;;01/07/2009;
C917E;DEHESA-REFUGIO;SANTA CRUZ DE TENERIFE;FRONTERA;715;27,725278;-18,115000;-999769;3160218;REGCAN95;;01/07/1983;
C919K;TACORON-LAPILLAS-TORTUGA;SANTA CRUZ DE TENERIFE;EL PINAR DE EL HIERRO;98;27,665278;-18,018611;-990925;3152228;REGCAN95;;01/12/2009;
C925F;SAN ANDR…S-DEP”SITO CABILDO;SANTA CRUZ DE TENERIFE;VALVERDE;1070;27,768611;-17,960000;-983582;3163165;REGCAN95;;01/07/2009;
C928I;VALVERDE;SANTA CRUZ DE TENERIFE;VALVERDE;670;27,810833;-17,919444;-978916;3167427;REGCAN95;;01/06/2020;
C929I;HIERRO/AEROPUERTO;SANTA CRUZ DE TENERIFE;VALVERDE;32;27,818889;-17,888889;-975736;3167955;REGCAN95;60001;01/12/1973;
C939T;SABINOSA-BALNEARIO;SANTA CRUZ DE TENERIFE;FRONTERA;20;27,756389;-18,106667;-998490;3163628;REGCAN95;;01/07/2009;
