INDICATIVO;NOMBRE;NOM_PROV;NOM_MUNI;ALTITUD;LATITUD;LONGITUD;C_X;C_Y;DATUM;IND_SYN;ALTA;BAJA
7002Y;ÁGUILAS;MURCIA;ÁGUILAS;26;37,417222;-1,586944;625041;4142095;ETRS89;08432;01/01/2009;
7007Y;MAZARRÓN/LAS TORRES;MURCIA;MAZARRÓN;66;37,588056;-1,230556;656224;4161583;ETRS89;;01/11/2017;
7012C;CARTAGENA;MURCIA;CARTAGENA;17;37,601111;-0,987778;677630;4163463;ETRS89;08434;01/09/1988;
7012D;CARTAGENA-TENTEGORRA;MURCIA;CARTAGENA;56;37,604444;-1,023333;674483;4163767;ETRS89;08434;01/02/2016;
7019B;SAN JAVIER (LA MANGA);MURCIA;SAN JAVIER;4;37,696111;-0,738889;699349;4174506;ETRS89;;01/07/2018;
7019X;CARTAGENA/SALINAS CABO PALOS;MURCIA;CARTAGENA;2;37,635833;-0,715556;701570;4167867;ETRS89;;01/02/2022;
7020C;MURCIA AEROPUERTO;MURCIA;MURCIA;205;37,807500;-1,128056;664788;4186108;ETRS89;;01/01/2019;
7026X;TORRE PACHECO (C.C.A.);MURCIA;TORRE-PACHECO;50;37,738889;-0,967500;679088;4178790;ETRS89;;01/04/2005;
7031X;MURCIA/SAN JAVIER II;MURCIA;SAN JAVIER;4;37,778333;-0,805833;693232;4183489;ETRS89;08433;01/01/2011;
7096B;HELLÍN;ALBACETE;HELLÍN;605;38,541944;-1,703056;613027;4266745;ETRS89;08355;01/08/1987;
7119B;CARAVACA,FUENTES DEL MARQUÉS;MURCIA;CARAVACA DE LA CRUZ;643;38,102500;-1,877222;598441;4217783;ETRS89;08365;01/01/2009;
7121A;CALASPARRA;MURCIA;CALASPARRA;350;38,234167;-1,702222;613580;4232593;ETRS89;;01/01/2008;
7138B;JUMILLA EL ALBAL;MURCIA;JUMILLA;485;38,458889;-1,335278;645247;4258045;ETRS89;;01/03/2008;
7145D;CIEZA, PARQUE DE BOMBEROS;MURCIA;CIEZA;265;38,232778;-1,380556;641737;4232883;ETRS89;08363;01/02/1997;
7172X;MULA, P. BOMBEROS;MURCIA;MULA;255;38,041389;-1,449167;636087;4211543;ETRS89;;01/02/2005;
7178I;MURCIA;MURCIA;MURCIA;62;38,001944;-1,170833;660598;4207610;ETRS89;08430;01/04/1984;
7203A;ZARZILLA DE RAMOS;MURCIA;LORCA;646;37,844722;-1,869722;599446;4189189;ETRS89;;01/12/2007;
7209;LORCA;MURCIA;LORCA;312;37,654722;-1,687222;615799;4168318;ETRS89;08426;01/01/1953;
7218X;TOTANA;MURCIA;TOTANA;225;37,761944;-1,502222;631929;4180459;ETRS89;;01/12/2007;30/04/2019
7218Y;TOTANA;MURCIA;TOTANA;281;37,758611;-1,512778;631005;4180075;ETRS89;;01/04/2019;
7227X;ALHAMA (COMARZA);MURCIA;ALHAMA DE MURCIA;157;37,861667;-1,334722;646486;4191774;ETRS89;;01/06/2004;
7228;MURCIA/ALCANTARILLA;MURCIA;MURCIA;75;37,957778;-1,228611;655618;4202611;ETRS89;08429;01/01/1940;
7237E;MOLINA DE SEGURA (LOS VALIENTES);MURCIA;MOLINA DE SEGURA;170;38,138889;-1,158611;661370;4222828;ETRS89;;01/01/2005;
7244X;ORIHUELA DESAMPARADOS;ALICANTE;ORIHUELA;26;38,067778;-0,981389;677074;4215260;ETRS89;;01/03/2008;
7247X;PINOSO;ALICANTE;EL PINÓS/PINOSO;575;38,399722;-1,038056;671322;4251990;ETRS89;08357;01/01/2004;
7261X;ROJALES, EL MOLINO;ALICANTE;ROJALES;31;38,088056;-0,715278;700365;4218051;ETRS89;;01/01/1992;
7275C;YECLA;MURCIA;YECLA;640;38,601667;-1,159722;660249;4274181;ETRS89;08356;01/01/2009;
