INDICATIVO;NOMBRE;NOM_PROV;NOM_MUNI;ALTITUD;LATITUD;LONGITUD;C_X;C_Y;DATUM;IND_SYN;ALTA;BAJA
8008Y;VILLENA;ALICANTE;VILLENA;486;38,576944;-0,865556;685931;4271992;ETRS89;;01/03/2005;
8019;ALICANTE-ELCHE/AEROPUERTO;ALICANTE;ELCHE/ELX;43;38,282778;-0,570833;712468;4239983;ETRS89;08360;01/01/1967;
8025;ALICANTE;ALICANTE;ALICANTE/ALACANT;81;38,372500;-0,494167;718904;4250120;ETRS89;08359;01/09/1938;
8036Y;BENIDORM (PARC LES FOIETES);ALICANTE;BENIDORM;36;38,543611;-0,137778;749453;4270018;ETRS89;;01/04/2005;
8050X;JÁVEA, AYUNTAMIENTO;ALICANTE;JÁVEA/XÀBIA;15;38,783611;0,167778;775167;4297534;ETRS89;08370;01/03/1997;
8057C;PEGO;ALICANTE;PEGO;60;38,846667;-0,118333;750089;4303709;ETRS89;;01/06/2009;
8058X;OLIVA;VALENCIA;OLIVA;5;38,928889;-0,095833;751751;4312898;ETRS89;08282;01/06/1992;30/09/2023
8058Y;MIRAMAR 'SEMIAUTOMÁTICA';VALENCIA;MIRAMAR;12;38,950278;-0,137778;748040;4315157;ETRS89;;01/11/2007;
8059C;ALCOY;ALICANTE;ALCOY/ALCOI;534;38,711111;-0,460833;720778;4287781;ETRS89;;01/06/2009;
8072Y;BARX;VALENCIA;BARX;340;39,016944;-0,304722;733351;4322115;ETRS89;;01/06/2005;
8096;CUENCA;CUENCA;CUENCA;949;40,067222;-2,131944;574025;4435579;ETRS89;08231;01/01/1951;
8155Y;MOTILLA DEL PALANCAR;CUENCA;MOTILLA DEL PALANCAR;830;39,555556;-1,915278;593190;4378992;ETRS89;;01/02/2003;
8175;ALBACETE/LOS LLANOS;ALBACETE;ALBACETE;702;38,954167;-1,856389;599093;4312313;ETRS89;08280;01/12/1939;
8177A;CHINCHILLA/CENAD;ALBACETE;CHINCHILLA DE MONTE-ARAGÓN;880;38,935833;-1,660000;616136;4310502;ETRS89;08278;01/01/2006;
8178D;ALBACETE,OBS.;ALBACETE;ALBACETE;674;39,005833;-1,862778;598467;4318039;ETRS89;08279;01/01/1983;
8191Y;LAS ERAS;ALBACETE;ALCALÁ DEL JÚCAR;680;39,198611;-1,435556;635092;4339983;ETRS89;;01/10/2009;
8193E;JALANCE;VALENCIA;JALANCE;372;39,208333;-1,094444;664527;4341627;ETRS89;;01/06/2009;
8198Y;ALMANSA;ALBACETE;ALMANSA;710;38,850556;-1,063056;668083;4301976;ETRS89;;01/06/2010;
8210Y;SALVACAÑETE;CUENCA;SALVACAÑETE;1160;40,103056;-1,503611;627542;4440269;ETRS89;;01/05/2012;
8270X;BICORP;VALENCIA;BICORP;305;39,133611;-0,790000;691017;4333930;ETRS89;;01/02/2008;
8283X;ONTINYENT;VALENCIA;ONTINYENT;350;38,829444;-0,607778;707656;4300570;ETRS89;;01/05/2008;
8293X;XÀTIVA;VALENCIA;XÀTIVA;88;39,001667;-0,523611;714444;4319880;ETRS89;08290;01/04/1990;
8300X;CARCAIXENT;VALENCIA;CARCAIXENT;25;39,113333;-0,445833;720832;4332461;ETRS89;;01/05/2008;
8309X;UTIEL, LA CUBERA;VALENCIA;UTIEL;758;39,575556;-1,244722;650758;4382122;ETRS89;08281;01/01/1991;
8319X;BUÑOL-VENTA MINA;VALENCIA;BUÑOL;585;39,450833;-0,856944;684396;4369001;ETRS89;;01/05/2008;30/04/2022
8325X;POLINYÀ;VALENCIA;POLINYÀ DE XÚQUER;12;39,184722;-0,371944;726991;4340568;ETRS89;08287;01/02/1991;
8354X;ALBARRACÍN;TERUEL;ALBARRACÍN;1130;40,419722;-1,441389;632227;4475511;ETRS89;;01/07/2009;
8368U;TERUEL;TERUEL;TERUEL;902;40,350556;-1,124167;659303;4468356;ETRS89;08235;01/04/1986;
8376;JABALOYAS, DEPÓSITO;TERUEL;JABALOYAS;1430;40,236111;-1,411667;635114;4455174;ETRS89;;01/07/2009;
8395X;CHELVA;VALENCIA;CHELVA;515;39,753333;-0,993056;671933;4402307;ETRS89;;01/07/2008;
8409X;LLIRIA;VALENCIA;LLÍRIA;198;39,663889;-0,653889;701252;4393085;ETRS89;;01/07/2008;
8414A;VALENCIA/AEROPUERTO;VALENCIA;MANISES;56;39,485000;-0,474722;717181;4373646;ETRS89;08284;01/01/1965;
