INDICATIVO;NOMBRE;NOM_PROV;NOM_MUNI;ALTITUD;LATITUD;LONGITUD;C_X;C_Y;DATUM;IND_SYN;ALTA;BAJA
5000C;CEUTA;CEUTA;CEUTA;87;35,888611;-5,346944;288160;3974139;ETRS89;60320;01/06/2003;
5047E;BAZA, CRUZ ROJA;GRANADA;BAZA;785;37,505833;-2,735000;523422;4151022;ETRS89;08424;01/01/2000;
5051X;HUÉSCAR;GRANADA;HUÉSCAR;1100;37,861389;-2,652778;530543;4190493;ETRS89;08423;01/01/2001;
5103E;CAMARATE 2, PARQUE NACIONAL SIERRA NEVADA;GRANADA;LUGROS;2152;37,158333;-3,256944;477186;4112468;ETRS89;;01/10/2023;
5103F;CAMARATE, PARQUE NACIONAL SIERRA NEVADA;GRANADA;LUGROS;1534;37,191111;-3,253889;477467;4116104;ETRS89;;01/07/2023;
5107D;DÓLAR;GRANADA;DÓLAR;1197;37,180000;-2,986389;501208;4114841;ETRS89;;01/03/2017;
5112X;GUADIX;GRANADA;GUADIX;916;37,311944;-3,129722;488505;4129486;ETRS89;;01/03/2024;
5164B;BAEZA;JAEN;BAEZA;771;37,996667;-3,461944;459441;4205546;ETRS89;;01/01/1987;
5181D;ARROYO DEL OJANCO;JAEN;ARROYO DEL OJANCO;580;38,314722;-2,889722;509641;4240741;ETRS89;08352;01/01/2001;
5192;VILLARRODRIGO;JAEN;VILLARRODRIGO;862;38,489167;-2,637500;531614;4260154;ETRS89;08354;01/05/1951;
5210X;VILLANUEVA DEL ARZOBISPO;JAEN;VILLANUEVA DEL ARZOBISPO;680;38,175000;-2,998056;500170;4225232;ETRS89;;01/08/2008;
5246;SANTA ELENA;JAEN;SANTA ELENA;770;38,344444;-3,535278;453225;4244169;ETRS89;08350;01/09/1929;
5270B;JAÉN;JAEN;JAÉN;580;37,777500;-3,809167;428743;4181437;ETRS89;08417;01/04/1983;
5279X;LINARES, VOR;JAEN;LINARES;515;38,151111;-3,629444;444850;4222769;ETRS89;;01/02/2004;
5281X;BAILÉN;JAEN;BAILÉN;345;38,093056;-3,782500;431385;4216429;ETRS89;;01/06/2009;
5298X;ANDÚJAR;JAEN;ANDÚJAR;202;38,023056;-4,063333;406670;4208907;ETRS89;08347;01/01/2001;
5304Y;PUERTOLLANO;CIUDAD REAL;PUERTOLLANO;665;38,668889;-4,059167;407858;4280566;ETRS89;;01/09/2008;
5341C;FUENCALIENTE;CIUDAD REAL;FUENCALIENTE;710;38,428889;-4,301667;386384;4254206;ETRS89;;01/01/2010;
5361X;MONTORO,VEGA ARMIJO;CORDOBA;MONTORO;155;38,013333;-4,330278;383224;4208130;ETRS89;;01/06/2008;
5390Y;VILLANUEVA DE CÓRDOBA;CORDOBA;VILLANUEVA DE CÓRDOBA;750;38,333056;-4,608889;359381;4243995;ETRS89;08346;01/01/2000;
5394X;CORDOBA , EMBALSE DE GUADANUÑO;CORDOBA;CÓRDOBA;525;38,020833;-4,796667;342296;4209651;ETRS89;;01/05/2008;
5402;CÓRDOBA/AEROPUERTO;CORDOBA;CÓRDOBA;90;37,848889;-4,846667;337528;4190657;ETRS89;08410;01/04/1959;
5406X;ALCALÁ LA REAL CHARILLA ;JAEN;ALCALÁ LA REAL;908;37,497500;-3,908056;419733;4150451;ETRS89;;01/08/2008;
5412X;PRIEGO DE CÓRDOBA, SAN FELIX;CORDOBA;PRIEGO DE CÓRDOBA;550;37,484722;-4,207778;393221;4149332;ETRS89;;01/08/2008;
5427X;DOÑA MENCÍA 'AUTOMÁTICA';CORDOBA;DOÑA MENCÍA;650;37,556111;-4,353889;380416;4157428;ETRS89;08412;01/02/2000;
5429X;CÓRDOBA (PRÁGDENA 'AUTOMÁTICA');CORDOBA;CÓRDOBA;275;37,810278;-4,462222;371287;4185773;ETRS89;;01/04/2012;
5459X;ESPIEL-C.TÉRMICA;CORDOBA;ESPIEL;465;38,111111;-4,928611;330921;4219901;ETRS89;;01/04/2009;
5470;FUENTE PALMERA-LOS ARROYONES;CORDOBA;FUENTE PALMERA;120;37,753056;-5,100556;314950;4180495;ETRS89;;01/04/2009;
5473X;AZUAGA;BADAJOZ;AZUAGA;581;38,267778;-5,686111;265006;4238941;ETRS89;;01/12/2002;
5511;PRADOLLANO, PARQUE NACIONAL SIERRA NEVADA;GRANADA;MONACHIL;3092;37,064444;-3,371389;466983;4102086;ETRS89;;01/04/2011;
5514;GRANADA/BASE AÉREA;GRANADA;ALHENDÍN;687;37,137222;-3,631389;443922;4110282;ETRS89;08420;01/01/1931;
5514Z;GRANADA/BASE AÉREA;GRANADA;ARMILLA;695;37,136111;-3,633333;443749;4110160;ETRS89;08420;01/10/2019;
5515X;GRANADA-CARTUJA;GRANADA;GRANADA;775;37,189722;-3,595556;447141;4116085;ETRS89;;01/12/2009;
5516D;SIERRA NEVADA - RADIOTELESCOPIO;GRANADA;DÍLAR;2856;37,063056;-3,386944;465600;4101937;ETRS89;08980;01/02/2014;
5530E;GRANADA/AEROPUERTO;GRANADA;CHAUCHINA;567;37,190278;-3,789722;429908;4116273;ETRS89;08419;01/07/1972;
5582A;LOJA;GRANADA;LOJA;760;37,161111;-4,152778;397645;4113368;ETRS89;08414;01/01/2001;
5598X;BENAMEJÍ-ALCACHOFARES ALTOS;CORDOBA;BENAMEJÍ;465;37,230833;-4,547778;362698;4121603;ETRS89;;01/10/2008;
5612B;RODA DE ANDALUCÍA;SEVILLA;LA RODA DE ANDALUCÍA;410;37,194444;-4,770000;342908;4117911;ETRS89;08399;01/02/2009;
5624X;AGUILAR, LAGUNA ZOÑAR;CORDOBA;AGUILAR DE LA FRONTERA;309;37,481944;-4,685833;350948;4149673;ETRS89;;01/12/2004;
5625X;LA RAMBLA, PRIVILEGIO;CORDOBA;LA RAMBLA;200;37,638611;-4,763889;344372;4167183;ETRS89;;01/06/2008;
5641X;ÉCIJA;SEVILLA;ÉCIJA;130;37,516111;-5,085000;315736;4154172;ETRS89;08395;01/01/2001;
5654X;LA PUEBLA DE LOS INFANTES;SEVILLA;LA PUEBLA DE LOS INFANTES;200;37,786667;-5,371111;291206;4184795;ETRS89;;01/04/2008;
5656;FUENTES DE ANDALUCÍA, EL TRAVIESO;SEVILLA;FUENTES DE ANDALUCÍA;165;37,497222;-5,433056;284917;4152815;ETRS89;;01/04/2008;
5702X;CARMONA, VILLEGAS;SEVILLA;CARMONA;50;37,565556;-5,740556;257950;4161147;ETRS89;;01/05/2008;
5704B;CAZALLA DE LA SIERRA;SEVILLA;CAZALLA DE LA SIERRA;550;37,926389;-5,769722;256560;4201268;ETRS89;08392;01/01/1997;
5726X;GUADALCANAL, CRISTO;SEVILLA;GUADALCANAL;720;38,099444;-5,819167;252795;4220605;ETRS89;;01/04/2008;
5733X;ALMADEN PLATA, LAS NAVAS;SEVILLA;ALMADÉN DE LA PLATA;450;37,791111;-6,075000;229227;4187096;ETRS89;;01/07/2004;
5769X;CALA;HUELVA;CALA;618;37,973611;-6,322222;208173;4208098;ETRS89;;01/02/2008;
5783;SEVILLA/SAN PABLO;SEVILLA;SEVILLA;34;37,416667;-5,879167;245199;4144990;ETRS89;08391;01/01/1951;
5788X;TOMARES, ZAUDÍN;SEVILLA;TOMARES;84;37,361667;-6,059722;229019;4139389;ETRS89;;01/02/2019;
5790Y;SEVILLA 'TABLADA AUT THIES';SEVILLA;SEVILLA;9;37,364167;-6,005833;233801;4139513;ETRS89;;01/03/2009;
5796;MORÓN DE LA FRONTERA;SEVILLA;ARAHAL;87;37,164444;-5,611389;268128;4116310;ETRS89;08397;01/02/1946;
5835X;CARRIÓN DE LOS CÉSPEDES;SEVILLA;CARRIÓN DE LOS CÉSPEDES;76;37,360000;-6,334167;204699;4140029;ETRS89;;01/04/2008;
5858X;ALMONTE, DOÑANA;HUELVA;ALMONTE;5;36,988611;-6,443056;193553;4099155;ETRS89;;01/02/2008;
5860E;EL ARENOSILLO;HUELVA;MOGUER;41;37,098056;-6,738056;167765;4112295;ETRS89;08384;01/01/1997;
5891X;LAS CABEZAS DE SAN JUAN, MAJOLETO ;SEVILLA;LAS CABEZAS DE SAN JUAN;105;36,953333;-5,846667;246531;4093484;ETRS89;;01/03/2005;
5906X;CHIPIONA, ECA;CADIZ;CHIPIONA;10;36,750000;-6,400556;196393;4072536;ETRS89;;01/08/2008;
5910;ROTA B.N.OBSERVATORIO';CADIZ;ROTA;21;36,638889;-6,332500;202042;4059991;ETRS89;08449;01/01/1957;
5911A;GRAZALEMA (EMA);CADIZ;GRAZALEMA;913;36,760556;-5,374167;288078;4070940;ETRS89;08455;01/02/2000;
5919X;OLVERA-COOP.AGRÍCOLA;CADIZ;OLVERA;530;36,931667;-5,259444;298769;4089678;ETRS89;;01/04/2009;
5941X;EL BOSQUE, SAN JOSÉ;CADIZ;EL BOSQUE;295;36,729444;-5,512222;275662;4067803;ETRS89;;01/08/2008;
5950X;SAN JOSE DEL VALLE-PT GUADALCACÍN;CADIZ;SAN JOSÉ DEL VALLE;105;36,663889;-5,783333;251236;4061199;ETRS89;;01/08/2008;
5960;JEREZ DE LA FRONTERA/AEROPUERTO;CADIZ;JEREZ DE LA FRONTERA;27;36,750556;-6,055833;227181;4071559;ETRS89;08451;01/02/1946;
5972X;SAN FERNANDO;CADIZ;SAN FERNANDO;28;36,465556;-6,205556;212754;4040368;ETRS89;08453;01/03/1997;
5973;CÁDIZ, OBS.;CADIZ;CÁDIZ;2;36,499722;-6,257778;208201;4044317;ETRS89;08452;01/11/1935;
5983X;MEDINA SIDONIA, EL HUNDIDO ;CADIZ;MEDINA-SIDONIA;70;36,406389;-5,920278;238125;4032989;ETRS89;;01/01/2006;
5995B;VEJER DE LA FRONTERA;CADIZ;VEJER DE LA FRONTERA;186;36,245556;-5,965000;233566;4015264;ETRS89;08457;01/03/1997;
5996B;BARBATE, DEPURADORA;CADIZ;BARBATE;4;36,185000;-5,909722;238333;4008394;ETRS89;;01/08/2008;
5998X;OSUNA, SEA;SEVILLA;OSUNA;255;37,243333;-5,112500;312627;4123959;ETRS89;;01/10/2008;
