INDICATIVO;NOMBRE;NOM_PROV;NOM_MUNI;ALTITUD;LATITUD;LONGITUD;C_X;C_Y;DATUM;IND_SYN;ALTA;BAJA
9001D;NESTARES;CANTABRIA;CAMPOO DE ENMEDIO;870;42,991944;-4,160556;405392;4760574;ETRS89;08032;01/02/2005;
9001S;ALTO CAMPOO;CANTABRIA;HERMANDAD DE CAMPOO DE SUSO;1650;43,036667;-4,374444;388037;4765804;ETRS89;08061;01/06/1985;
9016X;CUBILLO DE EBRO;CANTABRIA;VALDERREDIBLE;770;42,809722;-4,032222;415606;4740202;ETRS89;;01/09/2008;
9019B;POLIENTES-CASYC;CANTABRIA;VALDERREDIBLE;720;42,806389;-3,933889;423641;4739738;ETRS89;08033;01/01/1993;
9027X;SARGENTES DE LORA-CAMPO PETROLÍFERO;BURGOS;SARGENTES DE LA LORA;1017;42,746944;-3,884444;427615;4733093;ETRS89;;01/07/2013;
9031C;BRIVIESCA;BURGOS;BRIVIESCA;730;42,559444;-3,308889;474644;4711940;ETRS89;;01/03/2009;
9051;MEDINA DE POMAR;BURGOS;MEDINA DE POMAR;580;42,920000;-3,482778;460599;4752044;ETRS89;08063;01/05/1914;
9060X;LALASTRA;ARABA/ALAVA;VALDEGOVÍA/GAUBEA;910;42,875278;-3,231667;481079;4746991;ETRS89;;01/04/2009;
9069C;MIRANDA DE EBRO;BURGOS;MIRANDA DE EBRO;460;42,686944;-2,960556;503231;4726052;ETRS89;;01/03/2009;
9073X;AGURAIN/SALVATIERRA, OPAKUA;ARABA/ALAVA;AGURAIN/SALVATIERRA;660;42,829722;-2,359722;552332;4742105;ETRS89;;01/02/2009;
9091O;FORONDA-TXOKIZA;ARABA/ALAVA;VITORIA-GASTEIZ;513;42,881944;-2,735000;521641;4747739;ETRS89;08080;01/03/1973;
9091R;VITORIA-GASTEIZ AEROPUERTO;ARABA/ALAVA;VITORIA-GASTEIZ;513;42,871944;-2,732778;521826;4746629;ETRS89;08080;01/04/2000;
9111;BELORADO;BURGOS;BELORADO;820;42,421111;-3,170278;485991;4696548;ETRS89;08077;01/04/1989;
9115X;VALDEZCARAY;LA RIOJA;EZCARAY;1630;42,255000;-2,968333;502612;4678090;ETRS89;;01/06/2009;
9122I;LABASTIDA;ARABA/ALAVA;LABASTIDA/BASTIDA;612;42,603889;-2,776667;518320;4716853;ETRS89;;01/05/2001;
9141V;NÁJERA;LA RIOJA;NÁJERA;500;42,414167;-2,726667;522489;4695799;ETRS89;;01/07/2009;
9145Y;CENICERO;LA RIOJA;CENICERO;429;42,482778;-2,639444;529634;4703444;ETRS89;;01/11/2003;
9170;LOGROÑO, AEROPUERTO;LA RIOJA;AGONCILLO;353;42,452222;-2,331111;555002;4700205;ETRS89;08084;01/01/1948;
9171K;LOS ARCOS;NAVARRA;LOS ARCOS;470;42,570278;-2,183889;566982;4713420;ETRS89;;01/07/2009;
9188;ENCISO, DEPÓSITO;LA RIOJA;ENCISO;855;42,149444;-2,273333;560040;4666625;ETRS89;;01/08/1929;
9195C;ASTÚN- LA RACA;HUESCA;JACA;2276;42,793056;-0,505278;704027;4740854;ETRS89;08909;01/10/2021;
9198X;CANFRANC;HUESCA;CANFRANC;1197;42,749444;-0,516111;703283;4735985;ETRS89;;01/10/2014;
9201K;JACA;HUESCA;JACA;823;42,578889;-0,546944;701310;4716971;ETRS89;08091;01/01/1992;31/03/2023
9201X;JACA;HUESCA;JACA;832;42,579722;-0,545000;701467;4717068;ETRS89;;01/03/2023;
9207;VALLE DE HECHO, HECHO-DEPÓSITO;HUESCA;VALLE DE HECHO;860;42,740556;-0,750556;684122;4734459;ETRS89;;01/04/1928;
9208E;ARAGÜÉS DEL PUERTO, DEPÓSITO;HUESCA;ARAGÜÉS DEL PUERTO;1025;42,708611;-0,672778;690586;4731085;ETRS89;08095;01/02/2006;
9211F;BAILO, PUYALTO;HUESCA;BAILO;722;42,514167;-0,817222;679314;4709176;ETRS89;;01/07/2009;
9218A;ISABA/IZABA;NAVARRA;ISABA/IZABA;838;42,862500;-0,924722;669532;4747636;ETRS89;;01/04/1992;
9228J;OROZ-BETELU/OROTZ-BETELU, DEPÓSITO;NAVARRA;OROZ-BETELU/OROTZ-BETELU;635;42,896111;-1,300278;638776;4750680;ETRS89;;01/07/2009;
9228T;RONCESVALLES/ORREAGA;NAVARRA;ORREAGA/RONCESVALLES;947;43,007778;-1,325556;636465;4763039;ETRS89;;01/01/2006;
9244X;SOS DEL REY CATÓLICO;ZARAGOZA;SOS DEL REY CATÓLICO;626;42,490833;-1,213611;646804;4705822;ETRS89;08090;01/02/1992;
9245X;CÁSEDA, DEPÓSITO;NAVARRA;CÁSEDA;440;42,521389;-1,366389;634183;4708962;ETRS89;;01/07/2009;
9252X;OLITE/ERRIBERRI;NAVARRA;OLITE/ERRIBERRI;390;42,489167;-1,655556;610488;4704966;ETRS89;;01/03/1991;
9262P;MONREAL/ELO, DEPÓSITO;NAVARRA;MONREAL/ELO;585;42,701111;-1,495556;623219;4728722;ETRS89;;01/07/2009;
9263D;PAMPLONA, AEROPUERTO;NAVARRA;GALAR;459;42,776944;-1,650000;610434;4736929;ETRS89;08085;01/01/1975;
9263X;ARANGUREN, ILUNDAIN;NAVARRA;ARANGUREN;572;42,776111;-1,532500;620048;4736998;ETRS89;08089;01/03/2010;
9274X;IRURTZUN;NAVARRA;IRURTZUN;432;42,918889;-1,835000;595083;4752466;ETRS89;;01/07/2009;
9280B;LARRAGA;NAVARRA;LARRAGA;375;42,549444;-1,857500;593801;4711416;ETRS89;;01/07/2009;
9283Y;ALFARO, AYUNTAMIENTO;LA RIOJA;ALFARO;285;42,184444;-1,789722;599943;4670964;ETRS89;;01/04/2005;31/03/2021
9287A;SAN PEDRO MANRIQUE;SORIA;SAN PEDRO MANRIQUE;1096;42,026389;-2,230833;563674;4652992;ETRS89;;01/08/2003;
9293X;ALFARO, LA PLANA - DEPÓSITO;LA RIOJA;ALFARO;371;42,176111;-1,743889;603742;4670094;ETRS89;;01/02/2021;
9294E;BARDENAS REALES, BASE AÉREA;NAVARRA;BARDENAS REALES;295;42,198611;-1,475278;625882;4672954;ETRS89;08087;01/07/1993;
9299X;TARAZONA;ZARAGOZA;TARAZONA;475;41,914722;-1,723333;605873;4641096;ETRS89;;01/07/2009;
9302Y;TUDELA;NAVARRA;TUDELA;297;42,055556;-1,609444;615063;4656880;ETRS89;;01/07/2009;
