INDICATIVO;NOMBRE;NOM_PROV;NOM_MUNI;ALTITUD;LATITUD;LONGITUD;C_X;C_Y;DATUM;IND_SYN;ALTA;BAJA
3013;MOLINA DE ARAGÓN;GUADALAJARA;MOLINA DE ARAGÓN;1062;40,841667;-1,878889;594513;4521786;ETRS89;08232;01/09/1949;
3021Y;ZAOREJAS;GUADALAJARA;ZAOREJAS;1230;40,762778;-2,200556;567475;4512731;ETRS89;;01/08/2012;
3094B;TARANCÓN;CUENCA;TARANCÓN;808;40,011389;-3,021389;498175;4429022;ETRS89;08277;01/08/2009;
3099Y;OCAÑA;TOLEDO;OCAÑA;733;39,935000;-3,496111;457612;4420661;ETRS89;;01/01/2009;
3100B;ARANJUEZ;MADRID;COLMENAR DE OREJA;540;40,067222;-3,546111;453430;4435361;ETRS89;08229;01/04/1976;
3103;PANTANO EL VADO;GUADALAJARA;VALDESOTOS;910;41,003611;-3,301944;474607;4539202;ETRS89;;01/07/1942;
3104Y;RASCAFRÍA, EL PAULAR;MADRID;RASCAFRÍA;1159;40,889722;-3,888333;425165;4526895;ETRS89;;01/06/2003;
3110C;BUITRAGO;MADRID;BUITRAGO DEL LOZOYA;1030;41,006944;-3,613611;448400;4539709;ETRS89;08146;01/01/1997;
3111D;SOMOSIERRA;MADRID;SOMOSIERRA;1450;41,135556;-3,580278;451298;4553968;ETRS89;08145;01/07/2005;
3126Y;EL GOLOSO;MADRID;MADRID;740;40,561389;-3,711944;439729;4490313;ETRS89;;01/11/2003;
3129;MADRID/BARAJAS;MADRID;MADRID;609;40,466667;-3,555556;452902;4479703;ETRS89;08221;01/01/1945;
3130C;SIGÜENZA;GUADALAJARA;SIGÜENZA;1005;41,086389;-2,618056;532080;4548417;ETRS89;08150;01/10/1984;
3168D;GUADALAJARA;GUADALAJARA;GUADALAJARA;727;40,630278;-3,150000;487315;4497727;ETRS89;08226;01/08/2011;
3170Y;ALCALÁ DE HENARES-ENCÍN;MADRID;ALCALÁ DE HENARES;605;40,528333;-3,289722;475461;4486440;ETRS89;;01/01/2009;
3175;MADRID/TORREJÓN;MADRID;TORREJÓN DE ARDOZ;607;40,488611;-3,443611;462405;4482085;ETRS89;08227;01/02/1951;
3182Y;ARGANDA DEL REY;MADRID;ARGANDA DEL REY;533;40,311667;-3,497778;457704;4462469;ETRS89;;01/01/2009;
3191E;COLMENAR VIEJO/FAMET;MADRID;COLMENAR VIEJO;1004;40,696111;-3,765000;435367;4505305;ETRS89;08219;01/01/1978;
3194U;MADRID, C. UNIVERSITARIA;MADRID;MADRID;664;40,451667;-3,724167;438594;4478142;ETRS89;08220;01/01/1972;
3195;MADRID,RETIRO;MADRID;MADRID;667;40,411944;-3,678056;442470;4473702;ETRS89;08222;01/03/1893;
3196;MADRID/CUATRO VIENTOS;MADRID;MADRID;690;40,375556;-3,786111;433267;4469738;ETRS89;08223;01/05/1945;
