INDICATIVO;NOMBRE;NOM_PROV;NOM_MUNI;ALTITUD;LATITUD;LONGITUD;C_X;C_Y;DATUM;IND_SYN;ALTA;BAJA
6000A;MELILLA;MELILLA;MELILLA;52;35,276389;-2,956389;503966;3903695;ETRS89;60338;01/01/1948;
6001;TARIFA;CADIZ;TARIFA;32;36,013889;-5,598889;265784;3988615;ETRS89;08458;01/12/1866;
6032X;RONDA, IES;MALAGA;RONDA;753;36,750000;-5,168611;306402;4069333;ETRS89;;01/12/2009;
6040X;CORTES DE LA FRONTERA;MALAGA;CORTES DE LA FRONTERA;315;36,544444;-5,386389;286390;4046989;ETRS89;;01/04/2009;
6042I;JIMENA DE LA FRONTERA-EL DORADO;CADIZ;JIMENA DE LA FRONTERA;42;36,435556;-5,395000;285319;4034927;ETRS89;;01/04/2009;
6045X;ALPANDEIRE;MALAGA;ALPANDEIRE;676;36,632500;-5,203056;303027;4056367;ETRS89;;01/08/2008;
6050X;GAUCÍN;MALAGA;GAUCÍN;594;36,518611;-5,318611;292389;4043974;ETRS89;;01/10/2008;
6056X;SAN ROQUE, SOTOGRANDE;CADIZ;SAN ROQUE;1;36,273056;-5,284444;294804;4016657;ETRS89;;01/04/2009;
6057X;MANILVA;MALAGA;MANILVA;140;36,378333;-5,260000;297273;4028286;ETRS89;;01/09/2008;
6058I;ESTEPONA;MALAGA;ESTEPONA;19;36,416944;-5,155000;306789;4032354;ETRS89;08463;01/01/1970;
6069X;BENAHAVIS, LA ZAGALETA;MALAGA;BENAHAVÍS;392;36,543611;-5,024722;318766;4046154;ETRS89;;01/01/2004;
6076X;MARBELLA, PUERTO BANUS;MALAGA;MARBELLA;2;36,484444;-4,953056;325049;4039457;ETRS89;;01/08/2003;
6083X;MARBELLA, CABOPINO;MALAGA;MARBELLA;2;36,483611;-4,740278;344109;4038999;ETRS89;;01/08/2008;
6084X;FUENGIROLA;MALAGA;FUENGIROLA;8;36,538611;-4,618333;355136;4044910;ETRS89;08480;01/12/2000;
6088X;TORREMOLINOS;MALAGA;TORREMOLINOS;85;36,620556;-4,515000;364530;4053850;ETRS89;;01/09/2008;
6106X;ANTEQUERA-BOBADILLA;MALAGA;ANTEQUERA;408;37,029444;-4,748333;344493;4099568;ETRS89;08413;01/01/2001;
6127X;ÁLORA, LAS PELONAS;MALAGA;ÁLORA;172;36,854722;-4,696667;348744;4080101;ETRS89;;01/08/2008;
6155A;MÁLAGA/AEROPUERTO;MALAGA;MÁLAGA;6;36,666111;-4,482222;367539;4058858;ETRS89;08482;01/05/1942;
6156X;MÁLAGA,CMT;MALAGA;MÁLAGA;54;36,717778;-4,481667;367677;4064589;ETRS89;08481;01/01/2001;
6172X;MÁLAGA;MALAGA;MÁLAGA;25;36,716667;-4,419722;373208;4064382;ETRS89;;01/01/2010;
6201X;ALGARROBO, LA MAYORA;MALAGA;ALGARROBO;40;36,755833;-4,043889;406821;4068295;ETRS89;;01/01/2003;
6205X;TORROX,FARO;MALAGA;TORROX;3;36,726389;-3,957222;414525;4064948;ETRS89;08484;01/01/2001;
6213X;NERJA,CUEVAS DE NERJA;MALAGA;NERJA;169;36,762778;-3,845278;424557;4068890;ETRS89;;01/01/2003;
6248D;CAÑAR, PARQUE NACIONAL SIERRA NEVADA;GRANADA;CÁÑAR;1732;36,952222;-3,430278;461692;4089659;ETRS89;;01/10/2023;
6267X;SALOBREÑA;GRANADA;SALOBREÑA;20;36,748333;-3,578611;448348;4067111;ETRS89;;01/06/2009;
6268Y;MOTRIL, PUERTO NAÚTICO;GRANADA;MOTRIL;1;36,723889;-3,529167;452747;4064374;ETRS89;;01/12/2009;
6272X;CASTELL DE FERRO;GRANADA;GUALCHOS;235;36,734167;-3,380000;466072;4065451;ETRS89;;01/06/2009;
6277B;ADRA,CLUB NAÚTICO;ALMERIA;ADRA;8;36,747222;-3,020556;498165;4066832;ETRS89;08486;01/04/1986;
6293X;ROQUETAS DE MAR, FARO SABINAR;ALMERIA;ROQUETAS DE MAR;3;36,686944;-2,701667;526653;4060187;ETRS89;08492;01/07/2009;
6299I;LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA;GRANADA;HUÉNEJA;2300;37,095833;-2,964444;503160;4105504;ETRS89;;01/12/2013;
6302A;ABLA;ALMERIA;ABLA;869;37,141389;-2,780000;519538;4110580;ETRS89;08427;01/01/2001;
6307C;LAÚJAR, PARQUE NACIONAL SIERRA NEVADA;ALMERIA;LÁUJAR DE ANDARAX;1713;37,053056;-2,897222;509138;4100763;ETRS89;;01/07/2023;
6307X;LÁUJAR DE ANDARAX;ALMERIA;LÁUJAR DE ANDARAX;1518;37,033056;-2,912500;507782;4098543;ETRS89;;01/03/2009;
6312E;RÁGOL, PARQUE NACIONAL SIERRA NEVADA;ALMERIA;RÁGOL;601;37,020833;-2,677222;528712;4097232;ETRS89;;01/12/2013;
6325O;ALMERÍA/AEROPUERTO;ALMERIA;ALMERÍA;21;36,846389;-2,356944;557332;4078025;ETRS89;08487;01/01/1968;
6329X;CABO DE GATA, FARO;ALMERIA;ALMERÍA;52;36,721944;-2,193056;572060;4064331;ETRS89;;01/02/2009;
6332Y;CARBONERAS (FARO MESA ROLDAN) AUTOMATICA;ALMERIA;CARBONERAS;222;36,942222;-1,906944;597331;4089021;ETRS89;08488;01/07/2021;
6335O;NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA;ALMERIA;NACIMIENTO;970;37,110000;-2,699167;526728;4107118;ETRS89;;01/07/2023;
6340X;GARRUCHA, PUERTO;ALMERIA;GARRUCHA;6;37,178889;-1,816667;605043;4115373;ETRS89;;01/02/2009;
6364X;ALBOX;ALMERIA;ALBOX;508;37,406667;-2,151389;575103;4140325;ETRS89;;01/12/2008;
6367B;HUERCAL OVERA;ALMERIA;HUÉRCAL-OVERA;300;37,390556;-1,943611;593512;4138723;ETRS89;08428;01/04/1988;
6375X;FUENTE DE PIEDRA;MALAGA;FUENTE DE PIEDRA;420;37,132500;-4,741944;345271;4110992;ETRS89;;01/10/2008;
