INDICATIVO;NOMBRE;NOM_PROV;NOM_MUNI;ALTITUD;LATITUD;LONGITUD;C_X;C_Y;DATUM;IND_SYN;ALTA;BAJA
4007Y;OSSA DE MONTIEL;ALBACETE;OSSA DE MONTIEL;905;38,965833;-2,745000;522092;4313016;ETRS89;;01/03/2009;
4051Y;ALCÁZAR DEL REY;CUENCA;ALCÁZAR DEL REY;875;40,061111;-2,806944;516464;4434558;ETRS89;;01/12/2007;
4061X;QUINTANAR DE LA ORDEN;TOLEDO;QUINTANAR DE LA ORDEN;692;39,597222;-3,048333;495850;4383056;ETRS89;08275;01/10/2006;
4064Y;ALCÁZAR DE SAN JUAN;CIUDAD REAL;ALCÁZAR DE SAN JUAN;640;39,390833;-3,215833;481414;4360172;ETRS89;;01/07/2007;
4067;MADRIDEJOS;TOLEDO;MADRIDEJOS;690;39,491944;-3,528333;454569;4371504;ETRS89;08273;01/06/1945;
4070Y;ABIA DE OBISPALIA;CUENCA;ABIA DE LA OBISPALÍA;1020;40,018889;-2,395278;551605;4430029;ETRS89;;01/02/2003;
4089A;ALBERCA DE ZANCARA;CUENCA;LA ALBERCA DE ZÁNCARA;805;39,516944;-2,495833;543337;4374266;ETRS89;;01/04/2012;
4090Y;SAN CLEMENTE;CUENCA;SAN CLEMENTE;728;39,416667;-2,420556;549880;4363176;ETRS89;08256;01/09/2008;
4091Y;VILLARROBLEDO;ALBACETE;VILLARROBLEDO;718;39,261944;-2,592500;535156;4345925;ETRS89;;01/06/2009;
4093Y;OSA DE LA VEGA;CUENCA;OSA DE LA VEGA;763;39,656111;-2,760000;520589;4389618;ETRS89;;01/01/2003;
4095Y;BELMONTE;CUENCA;BELMONTE;745;39,555278;-2,705556;525296;4378441;ETRS89;;01/12/2009;
4096Y;MUNERA, SAN BARTOLOMÉ (AUTOMÁTICA);ALBACETE;MUNERA;918;39,016667;-2,488889;544248;4318750;ETRS89;;01/03/2003;
4103X;TOMELLOSO;CIUDAD REAL;TOMELLOSO;662;39,169167;-3,007500;499352;4335550;ETRS89;08276;01/01/2006;
4116I;ALMAGRO / FAMET;CIUDAD REAL;ALMAGRO;626;38,950833;-3,741944;435709;4311582;ETRS89;08349;01/06/2003;
4121;CIUDAD REAL;CIUDAD REAL;CIUDAD REAL;626;38,989167;-3,920278;420299;4315977;ETRS89;08348;01/11/1970;
4138Y;VILLANUEVA DE LOS INFANTES;CIUDAD REAL;VILLANUEVA DE LOS INFANTES;900;38,737500;-3,004444;499614;4287647;ETRS89;;01/03/2009;
4147X;VALDEPEÑAS;CIUDAD REAL;VALDEPEÑAS;700;38,750556;-3,391389;465990;4289169;ETRS89;08351;01/11/2006;
